City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Mogadishu,SO,2022-07-18 23:23:06,2.0371,45.3438,75.51,81,85,19.57
281,Gazojak,TM,2022-07-18 23:23:07,41.1875,61.4036,85.86,26,0,12.82
282,Ust-Nera,RU,2022-07-18 23:23:07,64.5667,143.2,78.17,56,100,7.52
283,El Paso,US,2022-07-18 23:20:35,31.8001,-106.2005,102.13,11,20,10.36
284,Bambous Virieux,MU,2022-07-18 23:22:03,-20.3428,57.7575,68.25,73,75,20.71
285,Yerbogachen,RU,2022-07-18 23:23:08,61.2767,108.0108,62.51,68,37,7.31
286,Farafangana,MG,2022-07-18 23:23:08,-22.8167,47.8333,68.32,76,100,12.41
287,Dudinka,RU,2022-07-18 23:23:09,69.4058,86.1778,61.63,64,79,10.4
288,Plougastel-Daoulas,FR,2022-07-18 23:23:09,48.3667,-4.3667,80.89,54,0,6.91
289,Sohag,EG,2022-07-18 23:23:09,26.557,31.6948,85.39,21,6,6.76
290,Buala,SB,2022-07-18 23:23:10,-8.145,159.5921,84.4,65,27,5.79
291,Shingu,JP,2022-07-18 23:18:26,33.7333,135.9833,80.69,85,100,7.83
292,Makakilo City,US,2022-07-18 23:23:10,21.3469,-158.0858,84.52,64,100,18.41
